10:16:00 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:16:00 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (974257b69c359b1f806f7a62845ff4e7)
10:16:05 | INFO | UsersActivity:22                         | Get title ', element -> By.xpath: //h1[@class='center title']
10:16:06 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (974257b69c359b1f806f7a62845ff4e7)...
10:16:06 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 195 ms
10:16:06 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:16:06 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639766209_10060_1
10:16:06 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:16:06 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:16:06 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:16:07 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:16:07 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:16:07 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:16:07 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (a1e77c28a31e81dc28be67cae5a3c622)
10:16:12 | INFO | WallpaperAbbys:22                        | Get title ', element -> By.xpath: //p[@class='header-white wallpaper-header']
10:16:13 | INFO | WallpaperAbbys:22                        | Get title ', element -> By.xpath: //p[@class='header-white']
10:16:13 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (a1e77c28a31e81dc28be67cae5a3c622)...
10:16:14 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 1139 ms
10:16:14 | INFO | WebDriverThreadLocalContainer:138        | No webdriver is bound to current thread: 1 - let's create a new webdriver
10:16:14 | INFO | FileHelper:56                            | Creating folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639774934_10060_1
10:16:15 | INFO | HttpClientTimeouts:81                    | Changed connectTimeout from 120000 to 60000
10:16:15 | INFO | HttpClientTimeouts:82                    | Changed readTimeout from 10800000 to 120000
10:16:15 | INFO | BrowserResizer:28                        | Set browser size to 1920x1080
10:16:15 | INFO | WebDriverFactory:138                     | BrowserName=chrome Version=113.0.5672.129 Platform=WINDOWS
10:16:15 | INFO | WebDriverFactory:79                      | Selenide v. 5.25.1
10:16:15 | INFO | WebDriverFactory:132                     | Selenium WebDriver v. 3.141.59 build time: 2018-11-14T08:17:03
10:16:15 | INFO | CreateDriverCommand:71                   | Create webdriver in current thread 1: ChromeDriver -> ChromeDriver: chrome on WINDOWS (b622d8af6ad745bbbf2b6142c7526214)
10:16:21 | INFO | WaysToHelp:22                            | Get title ', element -> By.xpath: //h1[@class='center title']
10:16:21 | INFO | CloseDriverCommand:30                    | Close webdriver: 1 -> ChromeDriver: chrome on WINDOWS (b622d8af6ad745bbbf2b6142c7526214)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 1 in 201 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639746386_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 58 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 58 in 0 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639738195_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 76 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 76 in 0 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639707959_10060_1
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639752868_10060_1
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639759675_10060_1
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639728156_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 46 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 46 in 0 ms
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 64 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 64 in 1 ms
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 82 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 82 in 1 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639717636_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 88 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 88 in 1 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639700432_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 94 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 94 in 2 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639691053_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 70 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 70 in 1 ms
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 40 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 40 in 0 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639766209_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 52 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 52 in 0 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639678216_10060_1
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 34 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 34 in 0 ms
10:16:22 | INFO | CloseDriverCommand:30                    | Close webdriver: 27 -> ChromeDriver: chrome on WINDOWS (null)...
10:16:22 | INFO | CloseDriverCommand:32                    | Closed webdriver 27 in 0 ms
10:16:22 | INFO | FileHelper:81                            | Deleted empty folder: C:\Users\max_h\IdeaProjects\AlphaCodersTestingProject\build\downloads\1685639774934_10060_1
